,type,Name,year,director,address,lat,lon,borough,complaints.count.freq,Style_Sec,Mat_Prim,Use_Orig,nbhd,imdb,TEL,URL,system
810,Museum,Sandy Ground Historical Society,,,1538 Woodrow Road,40.54097835,-74.21650282,,NA,,,,,,(718) 317-5796,http://statenislandusa.com/pages/sandy_ground.html,NA
811,Museum,Scandinavia House: The Nordic Center in America,,,58 Park Ave.,40.7494469,-73.98008844,,NA,,,,,,(212) 879-9779,http://www.scandinaviahouse.org/,NA
812,Museum,Schomburg Center for Research in Black Culture,,,515 Malcolm X Boulevard,40.81461273,-73.94099076,,NA,,,,,,(212) 491-2200,http://www.nypl.org/research/sc/sc.html,NA
813,Museum,School of Visual Arts Museum,,,209 E. 23rd St.,40.73875919,-73.98224233,,NA,,,,,,(212) 592-2145,http://www.schoolofvisualarts.edu/sa/index.jsp?sid0=201&page_id=482&event_id=865,NA
814,Museum,Seguine Mansion,,,440 Seguine Avenue,40.51521434,-74.1975893,,NA,,,,,,(718) 667-6042,http://www.historichousetrust.org/item.php?i_id=38,NA
815,Museum,Skyscraper Museum,,,39 Battery Place,40.70565753,-74.01756807,,NA,,,,,,(212) 968-1961,http://www.skyscraper.org/home.htm,NA
816,Museum,Solomon R. Guggenheim Museum,,,1071 Fifth Avenue,40.78300948,-73.95891102,,NA,,,,,,(212) 423-3500,http://www.guggenheim.org/,NA
817,Museum,Sony Wonder Technology Lab,,,550 Madison Ave,40.7614703,-73.97350782,,NA,,,,,,(212) 833-8100,http://wondertechlab.sony.com/,NA
818,Museum,South Street Seaport Museum,,,12 Fulton Street,40.70660336,-74.00372094,,NA,,,,,,(212) 748-8600,http://www.southstreetseaportmuseum.org/,NA
819,Museum,Staten Island Children's Museum,,,1000 Richmond Terr.,40.64270888,-74.10189211,,NA,,,,,,(718) 273-2060,http://www.statenislandkids.org/,NA
820,Museum,Staten Island Museum / Staten Island Institute of Arts & Sciences,,,75 Stuyvesant Pl.,40.64436918,-74.07766506,,NA,,,,,,(718) 727-1135,http://www.statenislandmuseum.org/,NA
821,Museum,Studio Museum in Harlem,,,144 West 125th Street,40.80824548,-73.94772615,,NA,,,,,,(212) 864-4500,http://www.studiomuseum.org,NA
822,Museum,Tenement Museum,,,108 Orchard Street,40.7186877,-73.98967905,,NA,,,,,,(212) 431-0233,http://www.tenement.org/,NA
823,Museum,"The Freakatorium, El Museo Loco",,,57 Clinton St.,40.71961673,-73.98501449,,NA,,,,,,(212) 375-0475,http://www.freakatorium.com/,NA
824,Museum,The Jazz Museum in Harlem,,,104 E. 126th Street,40.80527638,-73.93805874,,NA,,,,,,(212) 348-8300,http://www.jazzmuseuminharlem.org/,NA
825,Museum,The Jewish Children's Museum,,,792 Eastern Pkwy,40.66891158,-73.94196177,,NA,,,,,,(718) 467-0600,http://www.jcmonline.org/,NA
826,Museum,The Museum at FIT,,,7th Avenue at West 27th Street,40.74700838,-73.99392967,,NA,,,,,,(212) 217-5800,http://www.fitnyc.edu/306.asp,NA
827,Museum,Theodore Roosevelt Birthplace,,,28 East 20th Street,40.73864201,-73.98904085,,NA,,,,,,(212) 260-1616,http://www.nps.gov/thrb/index.htm,NA
828,Museum,Ukrainian Museum,,,222 East 6th Street,40.72767679,-73.98975703,,NA,,,,,,(212) 228-0110,http://www.ukrainianmuseum.org/,NA
829,Museum,Valentine-Varian House,,,3266 Bainbridge Ave.,40.87737982,-73.87942472,,NA,,,,,,(718) 881-8900,http://www.museumregister.com/US/NewYork/Bronx/ValentineVarianHouse/Info.html,NA
830,Museum,Van Cortlandt House Museum,,,VAN CRTLANDT MANSION,40.89111117,-73.89482257,,NA,,,,,,(718) 543-3344,http://www.vancortlandthouse.org/,NA
831,Museum,Wave Hill,,,West 249th Street & Independence Avenue,40.89788471,-73.91165377,,NA,,,,,,(718) 549-3200,http://wavehill.org/visit/,NA
832,Museum,Wyckoff Farmhouse Museum,,,5816 Clarendon Ave,40.64434068,-73.9207963,,NA,,,,,,(718) 629-5400,http://www.wyckoffassociation.org/,NA
833,Museum,Leo Baeck Institute,,,15 W. 16th St.,40.73802754,-73.99376449,,NA,,,,,,(212) 744-6400,http://www.lbi.org/,NA
834,Museum,American Sephardi Federation / Sephardic House,,,15 W. 16th St.,40.73807723,-73.9938858,,NA,,,,,,(212) 294-8350,http://www.americansephardifederation.org/,NA
835,Museum,YIVO Institute for Jewish Research,,,15 W. 16th St.,40.73795995,-73.99379427,,NA,,,,,,(212) 246-6860,http://www.yivoinstitute.org/,NA
836,Museum,American Jewish Historical Society,,,15 W. 16th St.,40.73801538,-73.9939289,,NA,,,,,,(212) 294-6160,http://www.ajhs.org/,NA
